year,month,week,day,building,floor,zone,direction,area,count
2020,10,43,23,mbk,006_7th,7z,exit,lift_17,143
2020,10,43,23,mbk,006_7th,7z,exit,lift_18,177
2020,10,43,23,mbk,006_7th,7z,exit,lift_19,181
2020,10,43,23,mbk,007_8th,8z,entrance,7z,89
2020,10,43,23,mbk,007_8th,8z,entrance,lift_10,72
2020,10,43,23,mbk,007_8th,8z,entrance,lift_11,3
2020,10,43,23,mbk,007_8th,8z,entrance,lift_12,0
2020,10,43,23,mbk,007_8th,8z,entrance,lift_13,2
2020,10,43,23,mbk,007_8th,8z,entrance,lift_14,0
2020,10,43,23,mbk,007_8th,8z,entrance,lift_15,18
2020,10,43,23,mbk,007_8th,8z,entrance,lift_17,25
2020,10,43,23,mbk,007_8th,8z,entrance,lift_18,36
2020,10,43,23,mbk,007_8th,8z,entrance,lift_19,24
2020,10,43,23,mbk,007_8th,8z,exit,7z,90
2020,10,43,23,mbk,007_8th,8z,exit,lift_10,72
2020,10,43,23,mbk,007_8th,8z,exit,lift_11,2
2020,10,43,23,mbk,007_8th,8z,exit,lift_12,0
2020,10,43,23,mbk,007_8th,8z,exit,lift_13,0
2020,10,43,23,mbk,007_8th,8z,exit,lift_14,0
2020,10,43,23,mbk,007_8th,8z,exit,lift_15,29
2020,10,43,23,mbk,007_8th,8z,exit,lift_17,30
2020,10,43,23,mbk,007_8th,8z,exit,lift_18,31
2020,10,43,23,mbk,007_8th,8z,exit,lift_19,29
2020,10,43,23,mbk,008_m,mz,entrance,lift_10,4
2020,10,43,23,mbk,008_m,mz,entrance,lift_11,0
2020,10,43,23,mbk,008_m,mz,entrance,lift_12,0
2020,10,43,23,mbk,008_m,mz,entrance,lift_13,0
2020,10,43,23,mbk,008_m,mz,entrance,lift_14,0
2020,10,43,23,mbk,008_m,mz,entrance,lift_17,49
